Mã sản phẩm,Tên sản phẩm,Danh mục,Mô tả,Đơn vị tính,Giá nhập,Giá bán,Số lượng tồn kho,Tồn kho tối thiểu,Vị trí lưu kho,Nhà cung cấp,Ngày nhập gần nhất,Trạng thái
LAP-2504-0001,Dell MacBook Air M2 Max,Laptop,,Chiếc,30479673,42911000,12,5,K11-H24-B18,CT TNHH Xuất nhập khẩu Đại Phát,2025-11-05,Còn hàng
LAP-2510-0002,HP ThinkPad X1 SE,Laptop,"HP ThinkPad X1 SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Pin dùng 10 giờ, Trọng lượng ~1.3kg, Màn hình 13.3"" FHD. Bảo hành 18 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #giao_nhanh #hp",Chiếc,25361144,34376000,14,5,K12-H21-B18,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-30,Còn hàng
ĐỒC-2502-0003,Lego Xếp hình 500 mảnh SE,Đồ chơi,"Lego Xếp hình 500 mảnh SE chính hãng từ Lego. Giá tốt chỉ 480,000đ. Độ tuổi khuyến nghị 8+, Phát triển tư duy & sáng tạo. Bảo hành 3 tháng. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày.",Hộp,355987,480000,27,15,K05-H27-B20,Phạm và Phạm Công ty Cổ phần,2025-10-28,Còn hàng
THỜ-2506-0004,H&M Áo khoác trench,Thời trang nữ,"H&M Áo khoác trench – lựa chọn đáng giá trong phân khúc. Nổi bật: Phom oversize, Dễ phối đồ, phù hợp đi làm/đi chơi, Chất liệu voan. Bảo hành 3 tháng, Giao 24-48H toàn quốc. Đổi trả trong 15 ngày.",Cái,526100,605000,78,14,K04-H22-B09,Hoàng Công ty TNHH MTV,2025-09-15,Còn hàng
THỰ-2504-0005,Kinh Đô Xúc xích tiệt trùng 10 cây Pro,Thực phẩm,"Kinh Đô Xúc xích tiệt trùng 10 cây Pro chính hãng từ Kinh Đô. Giá tốt chỉ 379,000đ. Nguồn gốc rõ ràng, an toàn vệ sinh, HSD 13 tháng, Bao bì nguyên vẹn, tem nhãn đầy đủ. Bảo hành 6 tháng. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày. #gia_tot #giao_nhanh",Gói,257857,379000,138,16,K07-H09-B03,CTCP Bán lẻ Công nghệ A-Z,2025-10-07,Còn hàng
THỰ-2507-0006,Acecook Gạo ST25 5kg SE,Thực phẩm,"Acecook Gạo ST25 5kg SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Bao bì nguyên vẹn, tem nhãn đầy đủ, Nguồn gốc rõ ràng, an toàn vệ sinh, HSD 12 tháng. Bảo hành 12 tháng, Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #acecook #giao_nhanh",Gói,130222,211000,137,26,K03-H17-B16,Công ty TNHH Thương mại Minh Anh,2025-11-03,Còn hàng
ĐỒC-2509-0007,Lego Bộ lắp ghép,Đồ chơi,,Hộp,1344190,1693000,33,11,K06-H04-B10,CT TNHH Xuất nhập khẩu Đại Phát,2025-11-05,Còn hàng
ĐỒC-2505-0008,Hasbro Bộ lắp ghép,Đồ chơi,"Hasbro Bộ lắp ghép chính hãng từ Hasbro. Giá tốt chỉ 832,000đ. Phát triển tư duy & sáng tạo, Chất liệu an toàn, đạt chuẩn ASTM. Bảo hành 6 tháng. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày.",Hộp,505195,832000,39,9,K03-H18-B17,Mai Bùi Công ty Cổ phần,2025-10-23,Còn hàng
LAP-2509-0009,Dell Swift 3 Pro,Laptop,"Dell Swift 3 Pro chính hãng từ Dell. Giá tốt chỉ 28,743,000đ. CPU Apple M2, Trọng lượng ~1.6kg, Màn hình 15.6"" FHD. Bảo hành 24 tháng. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #chinhhang #giao_nhanh",Chiếc,19409873,28743000,10,5,K08-H18-B06,CTCP Bán lẻ Công nghệ A-Z,2025-11-03,Còn hàng
THỰ-2502-0010,Kinh Đô Mì Hảo Hảo thùng Pro,Thực phẩm,"Kinh Đô Mì Hảo Hảo thùng Pro – lựa chọn đáng giá trong phân khúc. Nổi bật: Nguồn gốc rõ ràng, an toàn vệ sinh, HSD 8 tháng, Bao bì nguyên vẹn, tem nhãn đầy đủ. Bảo hành 12 tháng, Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #kinh_đô #gia_tot",Gói,124855,145000,138,16,K01-H28-B11,Công ty Cổ phần Phân phối Sao Việt,2025-11-04,Còn hàng
